City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
128,Acari,-15.4311,-74.6158,73.47,84,89,4.63,PE,2023-01-25 23:53:57
129,Dryden,49.7833,-92.7503,5.29,78,0,4.61,CA,2023-01-25 23:53:57
130,Sassandra,4.95,-6.0833,77.9,90,25,9.22,CI,2023-01-25 23:53:57
131,San Vicente,-26.6167,-54.1333,79.43,41,82,1.92,AR,2023-01-25 23:53:57
132,Ridgecrest,35.6225,-117.6709,60.66,23,0,7.0,US,2023-01-25 23:53:58
133,Caraballeda,10.6112,-66.8522,74.3,86,84,10.42,VE,2023-01-25 23:53:58
134,Sibolga,1.7427,98.7792,74.1,84,88,3.15,ID,2023-01-25 23:53:58
135,Champerico,14.3,-91.9167,91.94,67,24,12.68,GT,2023-01-25 23:53:59
136,Cayenne,4.9333,-52.3333,73.44,88,0,2.3,GF,2023-01-25 23:51:32
137,Jonesboro,35.8423,-90.7043,39.2,80,100,10.36,US,2023-01-25 23:53:59
138,Port Hedland,-20.3167,118.5667,89.65,62,42,9.22,AU,2023-01-25 23:53:59
139,Port Shepstone,-30.7414,30.455,72.93,77,99,5.93,ZA,2023-01-25 23:55:00
140,Ribeira Grande,38.5167,-28.7,59.77,77,26,13.0,PT,2023-01-25 23:55:00
141,Artyom,40.4723,50.333,30.34,57,3,1.23,AZ,2023-01-25 23:55:01
142,Kotovsk,47.7531,29.532,30.51,77,99,5.26,UA,2023-01-25 23:55:01
143,Yulara,-25.2406,130.9889,92.1,17,73,16.24,AU,2023-01-25 23:55:01
144,Phalaborwa,-23.943,31.1411,72.68,76,40,15.64,ZA,2023-01-25 23:55:02
145,Touros,-5.1989,-35.4608,78.84,74,3,10.42,BR,2023-01-25 23:55:02
146,Kremnica,48.7052,18.9183,27.25,90,99,1.81,SK,2023-01-25 23:55:03
147,Saldanha,-33.0117,17.9442,59.05,84,22,19.62,ZA,2023-01-25 23:55:03
148,Sorland,67.667,12.6934,35.46,74,100,22.12,NO,2023-01-25 23:55:03
149,Kovernino,57.1253,43.8142,22.64,87,100,12.26,RU,2023-01-25 23:55:04
150,Santo Antonio Do Ica,-3.1022,-67.9397,73.58,97,91,0.83,BR,2023-01-25 23:55:04
151,Isangel,-19.55,169.2667,86.63,65,2,7.94,VU,2023-01-25 23:55:05
152,Copperas Cove,31.1241,-97.9031,49.93,56,5,11.83,US,2023-01-25 23:55:05
153,Atbasar,51.8,68.3333,1.13,94,52,11.59,KZ,2023-01-25 23:55:05
154,Nedjo,9.5046,35.5019,63.23,38,68,4.79,ET,2023-01-25 23:55:06
155,Pacific Grove,36.6177,-121.9166,66.02,50,0,8.99,US,2023-01-25 23:55:06
156,San Policarpo,12.1791,125.5072,78.85,88,100,20.24,PH,2023-01-25 23:55:07
157,Karratha,-20.7377,116.8463,88.43,56,11,10.16,AU,2023-01-25 23:55:07
158,Pangnirtung,66.1451,-65.7125,-22.0,76,75,3.44,CA,2023-01-25 23:55:08
159,Airai,-8.9266,125.4092,67.95,70,96,1.45,TL,2023-01-25 23:55:08
160,Lang Son,21.8333,106.7333,50.74,75,66,0.49,VN,2023-01-25 23:55:08
161,Esperance,-33.8667,121.9,68.54,70,61,7.85,AU,2023-01-25 23:55:09
162,Kalmunai,7.4167,81.8167,74.64,81,98,8.12,LK,2023-01-25 23:55:09
163,Owensboro,37.7742,-87.1133,37.45,87,100,12.66,US,2023-01-25 23:51:09
164,Hofn,64.2539,-15.2082,33.98,73,100,11.03,IS,2023-01-25 23:55:09
165,Klyuchi,52.2667,79.1667,16.27,88,100,13.94,RU,2023-01-25 23:55:10
166,Maketu,-37.7667,176.45,74.84,67,88,11.23,NZ,2023-01-25 23:55:10
167,Lincoln,40.8,-96.667,21.29,73,91,7.0,US,2023-01-25 23:51:29
168,Porto Santo,33.072,-16.3415,59.38,63,40,17.27,PT,2023-01-25 23:55:11
169,Dongli,23.5656,116.8194,49.98,71,100,4.47,CN,2023-01-25 23:55:11
170,Labuan,5.2767,115.2417,77.36,88,20,0.0,MY,2023-01-25 23:50:23
171,Qaanaaq,77.484,-69.3632,-2.85,66,3,7.63,GL,2023-01-25 23:55:12
172,Tezu,27.9167,96.1667,58.78,42,70,3.76,IN,2023-01-25 23:55:12
173,Guarizama,14.9167,-86.3333,88.02,65,66,2.95,HN,2023-01-25 23:55:13
174,Port Blair,11.6667,92.75,80.64,78,75,4.61,IN,2023-01-25 23:55:13
175,Sumenep,-7.0167,113.8667,78.64,84,100,4.05,ID,2023-01-25 23:55:13
176,Kintampo,8.0563,-1.7306,84.09,25,1,4.83,GH,2023-01-25 23:55:14
177,Wanlaweyn,2.6185,44.8938,72.43,70,1,13.18,SO,2023-01-25 23:55:14
178,Sangar,63.9242,127.4739,-55.5,99,45,2.06,RU,2023-01-25 23:55:15
179,Mazatlan,23.2167,-106.4167,74.91,70,97,10.0,MX,2023-01-25 23:55:15
180,Mandan,46.8267,-100.8896,23.36,90,100,5.75,US,2023-01-25 23:55:15
181,Belmonte,-15.8631,-38.8828,78.75,79,100,8.99,BR,2023-01-25 23:55:16
182,San Lawrenz,36.0553,14.204,51.21,80,51,1.01,MT,2023-01-25 23:55:16
183,Kaeo,-35.1,173.7833,69.44,80,86,14.65,NZ,2023-01-25 23:56:16
184,Sibu,2.3,111.8167,73.71,100,40,0.0,MY,2023-01-25 23:53:07
185,Kamaishi,39.2667,141.8833,29.44,58,23,18.7,JP,2023-01-25 23:56:17
186,San Cristobal,7.7669,-72.225,73.58,64,74,1.77,VE,2023-01-25 23:56:17
187,Ritchie,-29.038,24.6028,70.18,66,83,17.74,ZA,2023-01-25 23:56:18
